film_id,film_title,category_name,customer_id,customer_name,store_city,store_country,rental_date,customer_total_spend_for_film
863,SUN CONFESSIONS,Sci-Fi,533,JESSIE MILAM,Woodridge,Australia,2005-05-26 06:11:28,1.99
745,ROSES TREASURE,Sports,533,JESSIE MILAM,Woodridge,Australia,2005-05-28 15:35:52,5.99
532,LOSER HUSTLER,Sports,533,JESSIE MILAM,Woodridge,Australia,2005-06-15 17:57:04,5.99
748,RUGRATS SHAKESPEARE,Action,533,JESSIE MILAM,Woodridge,Australia,2005-06-16 09:31:37,0.99
746,ROUGE SQUAD,Games,533,JESSIE MILAM,Woodridge,Australia,2005-06-17 01:13:38,0.99
704,PURE RUNNER,Comedy,533,JESSIE MILAM,Lethbridge,Canada,2005-06-17 08:37:55,2.99
667,PEACH INNOCENT,Sports,533,JESSIE MILAM,Woodridge,Australia,2005-06-19 17:54:22,6.99
589,MODERN DORADO,Documentary,533,JESSIE MILAM,Woodridge,Australia,2005-06-20 06:47:23,0.99
723,REIGN GENTLEMEN,Sci-Fi,533,JESSIE MILAM,Woodridge,Australia,2005-07-07 06:49:09,8.99
151,CINCINATTI WHISPERER,Sci-Fi,533,JESSIE MILAM,Lethbridge,Canada,2005-07-08 16:17:35,4.99
828,SPIKING ELEMENT,Classics,533,JESSIE MILAM,Woodridge,Australia,2005-07-12 16:21:47,2.99
200,CURTAIN VIDEOTAPE,Games,533,JESSIE MILAM,Lethbridge,Canada,2005-07-12 18:53:37,0.99
267,EAGLES PANKY,New,533,JESSIE MILAM,Lethbridge,Canada,2005-07-12 18:59:45,9.99
749,RULES HUMAN,Horror,533,JESSIE MILAM,Woodridge,Australia,2005-07-27 22:17:05,4.99
312,FIDDLER LOST,Sci-Fi,533,JESSIE MILAM,Woodridge,Australia,2005-07-28 18:29:16,8.99
241,DONNIE ALLEY,Animation,533,JESSIE MILAM,Lethbridge,Canada,2005-07-28 18:59:36,2.99
986,WONKA SEA,Animation,533,JESSIE MILAM,Woodridge,Australia,2005-07-29 00:49:15,2.99
331,FORWARD TEMPLE,Games,533,JESSIE MILAM,Woodridge,Australia,2005-07-29 08:32:11,2.99
63,BEDAZZLED MARRIED,Family,533,JESSIE MILAM,Woodridge,Australia,2005-07-29 15:59:06,1.99
525,LOATHING LEGALLY,Classics,533,JESSIE MILAM,Lethbridge,Canada,2005-07-29 20:39:49,1.99
876,TARZAN VIDEOTAPE,Horror,533,JESSIE MILAM,Lethbridge,Canada,2005-07-31 20:22:01,3.99
481,JEKYLL FROGMEN,New,533,JESSIE MILAM,Woodridge,Australia,2005-08-01 06:34:36,2.99
51,BALLOON HOMEWARD,Music,533,JESSIE MILAM,Woodridge,Australia,2005-08-01 14:57:00,6.99
71,BILKO ANONYMOUS,Family,533,JESSIE MILAM,Woodridge,Australia,2005-08-17 00:10:55,7.99
2,ACE GOLDFINGER,Horror,533,JESSIE MILAM,Woodridge,Australia,2005-08-17 09:33:02,8.99
468,INVASION CYCLONE,Children,533,JESSIE MILAM,Woodridge,Australia,2005-08-17 16:08:42,2.99
436,HOURS RAGE,New,533,JESSIE MILAM,Lethbridge,Canada,2005-08-18 16:49:50,0.99
189,CREATURES SHAKESPEARE,Games,533,JESSIE MILAM,Woodridge,Australia,2005-08-18 18:57:44,6.99
570,MERMAID INSECTS,Sports,533,JESSIE MILAM,Woodridge,Australia,2005-08-21 06:08:15,7.99
777,SECRETARY ROUGE,Sports,533,JESSIE MILAM,Lethbridge,Canada,2005-08-22 00:46:18,4.99
54,BANGER PINOCCHIO,Music,533,JESSIE MILAM,Woodridge,Australia,2005-08-23 21:01:09,0.99
462,INSIDER ARIZONA,Music,533,JESSIE MILAM,Woodridge,Australia,2006-02-14 15:16:03,2.99
370,GORGEOUS BINGO,Children,534,CHRISTIAN JUNG,Woodridge,Australia,2005-05-26 21:21:28,5.99
283,ENDING CROWDS,New,534,CHRISTIAN JUNG,Lethbridge,Canada,2005-05-30 15:01:02,0.99
776,SECRET GROUNDHOG,Documentary,534,CHRISTIAN JUNG,Woodridge,Australia,2005-06-16 06:36:33,4.99
201,CYCLONE FAMILY,Foreign,534,CHRISTIAN JUNG,Lethbridge,Canada,2005-06-16 10:40:17,2.99
732,RINGS HEARTBREAKERS,Action,534,CHRISTIAN JUNG,Lethbridge,Canada,2005-06-18 18:13:32,0.99
839,STALLION SUNDANCE,Sci-Fi,534,CHRISTIAN JUNG,Woodridge,Australia,2005-06-21 01:05:19,1.99
158,CLONES PINOCCHIO,Music,534,CHRISTIAN JUNG,Lethbridge,Canada,2005-06-21 01:19:37,4.99
489,JUGGLER HARDLY,Animation,534,CHRISTIAN JUNG,Lethbridge,Canada,2005-07-06 11:42:04,2.99
45,ATTRACTION NEWTON,New,534,CHRISTIAN JUNG,Lethbridge,Canada,2005-07-09 01:07:21,4.99
428,HOMICIDE PEACH,Family,534,CHRISTIAN JUNG,Lethbridge,Canada,2005-07-27 05:41:20,2.99
228,DETECTIVE VISION,Classics,534,CHRISTIAN JUNG,Lethbridge,Canada,2005-07-28 02:16:08,2.99
753,RUSH GOODFELLAS,Family,534,CHRISTIAN JUNG,Woodridge,Australia,2005-07-29 14:19:53,0.99
448,IDAHO LOVE,New,534,CHRISTIAN JUNG,Woodridge,Australia,2005-07-30 22:22:16,5.99
852,STRANGELOVE DESIRE,Children,534,CHRISTIAN JUNG,Lethbridge,Canada,2005-07-30 22:31:31,4.99
958,WARDROBE PHANTOM,Drama,534,CHRISTIAN JUNG,Lethbridge,Canada,2005-08-01 09:45:25,5.99
980,WIZARD COLDBLOODED,Music,534,CHRISTIAN JUNG,Lethbridge,Canada,2005-08-01 19:11:04,6.99
458,INDIAN LOVE,Family,534,CHRISTIAN JUNG,Lethbridge,Canada,2005-08-01 21:56:41,0.99
793,SHRUNK DIVINE,Action,534,CHRISTIAN JUNG,Lethbridge,Canada,2005-08-02 10:54:30,5.99
975,WILLOW TRACY,Family,534,CHRISTIAN JUNG,Woodridge,Australia,2005-08-18 05:46:29,2.99
819,SONG HEDWIG,Music,534,CHRISTIAN JUNG,Lethbridge,Canada,2005-08-18 20:07:46,5.99
922,UNDEFEATED DALMATIONS,Horror,534,CHRISTIAN JUNG,Woodridge,Australia,2005-08-19 00:24:33,4.99
34,ARABIA DOGMA,Horror,534,CHRISTIAN JUNG,Woodridge,Australia,2005-08-19 18:36:35,0.99
890,TIGHTS DAWN,Sports,534,CHRISTIAN JUNG,Woodridge,Australia,2005-08-22 01:15:51,1.99
391,HALF OUTFIELD,Family,534,CHRISTIAN JUNG,Lethbridge,Canada,2006-02-14 15:16:03,2.99
89,BORROWERS BEDAZZLED,Animation,535,JAVIER ELROD,Woodridge,Australia,2005-05-25 04:44:31,0.99
363,GO PURPLE,Music,535,JAVIER ELROD,Lethbridge,Canada,2005-05-28 06:41:58,2.99
395,HANDICAP BOONDOCK,Action,535,JAVIER ELROD,Lethbridge,Canada,2005-05-29 14:09:53,3.99
